Intersection,Participant,Round,Polygon,EgoEnterTime,ObjExitTime,PET(s),AbsPET(s)
Intersection 1,224,sliced_2,Conflict Zone 1,2025-02-05 19:16:41.664,2025-02-05 19:16:37.364,4.3,4.3
Intersection 1,224,sliced_3,Conflict Zone 1,2025-02-05 19:39:24.457,2025-02-05 19:39:14.757,9.7,9.7
Intersection 1,224,sliced_6,Conflict Zone 1,2025-02-05 22:05:45.533,2025-02-05 22:05:44.233,1.3,1.3
Intersection 1,230,sliced_13,Conflict Zone 1,2025-02-08 00:10:24.793,2025-02-08 00:10:23.093,1.7,1.7
Intersection 1,230,sliced_3,Conflict Zone 1,2025-02-07 18:31:23.476,2025-02-07 18:31:05.676,17.8,17.8
Intersection 1,251,sliced_4,Conflict Zone 1,2025-02-20 19:49:03.982,2025-02-20 19:49:00.082,3.9,3.9
Intersection 1,251,sliced_5,Conflict Zone 1,2025-02-20 20:11:45.948,2025-02-20 20:11:45.048,0.9,0.9
Intersection 1,253,sliced_2,Conflict Zone 1,2025-02-21 20:08:55.501,2025-02-21 20:08:54.402,1.099,1.099
Intersection 1,263,sliced_1,Conflict Zone 1,2025-02-26 19:21:58.843,2025-02-26 19:21:53.243,5.6,5.6
Intersection 1,263,sliced_2,Conflict Zone 1,2025-02-26 19:41:22.343,2025-02-26 19:41:09.443,12.9,12.9
Intersection 1,263,sliced_3,Conflict Zone 1,2025-02-26 20:57:48.756,2025-02-26 20:57:43.956,4.8,4.8
Intersection 1,263,sliced_7,Conflict Zone 1,2025-02-26 23:07:45.602,2025-02-26 23:07:32.202,13.4,13.4
Intersection 1,265,sliced_3,Conflict Zone 1,2025-02-27 19:49:01.072,2025-02-27 19:48:54.872,6.2,6.2
Intersection 1,265,sliced_5,Conflict Zone 1,2025-02-27 21:02:19.379,2025-02-27 21:02:08.979,10.4,10.4
Intersection 1,267,sliced_2,Conflict Zone 1,2025-02-28 19:20:38.807,2025-02-28 19:20:29.907,8.9,8.9
Intersection 1,267,sliced_5,Conflict Zone 1,2025-02-28 20:32:17.973,2025-02-28 20:32:14.673,3.3,3.3
Intersection 1,267,sliced_7,Conflict Zone 1,2025-02-28 21:15:44.773,2025-02-28 21:15:39.173,5.6,5.6
Intersection 3,224,sliced_1,Conflict Zone 1,2025-02-05 18:49:00.340,2025-02-05 18:48:44.441,15.899000000000001,15.899000000000001
Intersection 3,224,sliced_10,Conflict Zone 1,2025-02-05 23:29:36.187,2025-02-05 23:29:28.687,7.5,7.5
Intersection 3,224,sliced_2,Conflict Zone 1,2025-02-05 19:18:29.964,2025-02-05 19:18:25.964,4.0,4.0
Intersection 3,224,sliced_3,Conflict Zone 1,2025-02-05 19:41:09.957,2025-02-05 19:41:07.257,2.7,2.7
Intersection 3,224,sliced_5,Conflict Zone 1,2025-02-05 20:27:40.833,2025-02-05 20:27:26.033,14.8,14.8
Intersection 3,224,sliced_8,Conflict Zone 1,2025-02-05 22:41:12.308,2025-02-05 22:41:01.708,10.6,10.6
Intersection 3,224,sliced_9,Conflict Zone 1,2025-02-05 23:00:54.112,2025-02-05 23:00:47.012,7.1,7.1
Intersection 3,230,sliced_10,Conflict Zone 1,2025-02-07 21:42:04.160,2025-02-07 21:42:01.960,2.2,2.2
Intersection 3,230,sliced_11,Conflict Zone 1,2025-02-07 22:02:55.760,2025-02-07 22:02:52.160,3.6,3.6
Intersection 3,230,sliced_12,Conflict Zone 1,2025-02-07 22:33:53.157,2025-02-07 22:33:45.757,7.4,7.4
Intersection 3,230,sliced_13,Conflict Zone 1,2025-02-08 00:12:15.794,2025-02-08 00:12:11.294,4.5,4.5
Intersection 3,230,sliced_3,Conflict Zone 1,2025-02-07 18:32:40.476,2025-02-07 18:32:35.276,5.2,5.2
Intersection 3,230,sliced_5,Conflict Zone 1,2025-02-07 18:55:06.476,2025-02-07 18:55:04.776,1.7,1.7
Intersection 3,230,sliced_6,Conflict Zone 1,2025-02-07 19:14:49.376,2025-02-07 19:14:43.276,6.1,6.1
Intersection 3,251,sliced_1,Conflict Zone 1,2025-02-20 18:38:25.186,2025-02-20 18:38:20.487,4.699,4.699
Intersection 3,251,sliced_3,Conflict Zone 1,2025-02-20 19:18:14.675,2025-02-20 19:18:03.975,10.7,10.7
Intersection 3,251,sliced_6,Conflict Zone 1,2025-02-20 22:08:30.488,2025-02-20 22:08:26.487,4.001,4.001
Intersection 3,251,sliced_7,Conflict Zone 1,2025-02-20 23:12:44.131,2025-02-20 23:12:35.431,8.7,8.7
Intersection 3,253,sliced_1,Conflict Zone 1,2025-02-21 19:51:03.001,2025-02-21 19:50:54.301,8.7,8.7
Intersection 3,253,sliced_2,Conflict Zone 1,2025-02-21 20:12:07.201,2025-02-21 20:11:59.001,8.2,8.2
Intersection 3,253,sliced_4,Conflict Zone 1,2025-02-21 21:03:36.387,2025-02-21 21:03:31.887,4.5,4.5
Intersection 3,253,sliced_5,Conflict Zone 1,2025-02-21 21:35:25.814,2025-02-21 21:35:19.114,6.7,6.7
Intersection 3,263,sliced_5,Conflict Zone 1,2025-02-26 22:20:26.490,2025-02-26 22:20:20.590,5.9,5.9
Intersection 3,265,sliced_1,Conflict Zone 1,2025-02-27 19:11:43.997,2025-02-27 19:11:39.697,4.3,4.3
Intersection 3,265,sliced_2,Conflict Zone 1,2025-02-27 19:30:28.997,2025-02-27 19:30:21.097,7.9,7.9
Intersection 3,265,sliced_4,Conflict Zone 1,2025-02-27 20:12:41.094,2025-02-27 20:12:37.294,3.8,3.8
Intersection 3,265,sliced_5,Conflict Zone 1,2025-02-27 21:03:47.379,2025-02-27 21:03:41.079,6.3,6.3
Intersection 3,265,sliced_6,Conflict Zone 1,2025-02-27 21:54:22.586,2025-02-27 21:54:14.986,7.6,7.6
Intersection 3,265,sliced_8,Conflict Zone 1,2025-02-27 22:36:42.992,2025-02-27 22:36:02.692,40.3,40.3
Intersection 3,265,sliced_9,Conflict Zone 1,2025-02-27 23:00:10.347,2025-02-27 23:00:04.247,6.1,6.1
Intersection 3,267,sliced_2,Conflict Zone 1,2025-02-28 19:22:38.207,2025-02-28 19:22:34.907,3.3,3.3
Intersection 3,267,sliced_3,Conflict Zone 1,2025-02-28 19:43:25.707,2025-02-28 19:43:11.207,14.5,14.5
Intersection 3,267,sliced_4,Conflict Zone 1,2025-02-28 20:02:57.407,2025-02-28 20:02:51.707,5.7,5.7
Intersection 3,267,sliced_5,Conflict Zone 1,2025-02-28 20:33:46.775,2025-02-28 20:33:43.073,3.702,3.702
Intersection 3,267,sliced_6,Conflict Zone 1,2025-02-28 20:54:27.873,2025-02-28 20:54:24.773,3.1,3.1
Intersection 3,267,sliced_7,Conflict Zone 1,2025-02-28 21:17:11.873,2025-02-28 21:17:07.873,4.0,4.0
